Serving HTTP on 0.0.0.0 port 57222 (http://0.0.0.0:57222/) ...
127.0.0.1 - - [09/Jul/2025 07:43:32] "GET /livelink_demo.html?v=123456 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:45:09] "GET /livelink_demo.html?v=123457 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:47:40] "GET /livelink_demo.html?v=123458 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:49:00] "GET /livelink_demo.html?v=999999 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:50:01] "GET /livelink_demo.html?v=888888 HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 07:51:03] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 07:51:52] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 07:52:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:52:56] "GET /livelink_demo.html?v=777777 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:52:56] "GET /livelink_new.js?v=999999 HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 07:54:11] "GET /module-loader.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 08:00:04] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 08:04:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 08:05:11] "GET / HTTP/1.1" 200 -
