Serving HTTP on 0.0.0.0 port 54868 (http://0.0.0.0:54868/) ...
127.0.0.1 - - [15/Jul/2025 07:46:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2025 07:46:36] "GET /livelink.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2025 07:46:36] "GET /otoy-theme.css HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2025 07:46:36] "GET /shared.js HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2025 07:46:36] "GET /webgl-utils.js HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 07:48:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 07:50:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 07:57:42] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:11:03] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:11:47] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:12:07] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:17:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:17:36] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:17:37] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:17:44] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:27:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:27:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:27:50] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:29:29] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [15/Jul/2025 08:40:00] "GET / HTTP/1.1" 200 -
