Serving HTTP on 0.0.0.0 port 52481 (http://0.0.0.0:52481/) ...
127.0.0.1 - - [08/Jul/2025 23:53:33] "GET /livelink.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:55:52] "GET /debug_test.html HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:55:52] "GET /livelink.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jul/2025 23:56:35] "GET /web3d_octane_sync.html HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:59:17] "GET /web3d_octane_sync.html HTTP/1.1" 200 -
127.0.0.1 - - [08/Jul/2025 23:59:17] "GET /livelink.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2025 00:03:26] "GET /web3d_octane_sync.html HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 00:03:26] "GET /livelink.js HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:06:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:24:50] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:25:44] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:27:16] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:40:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 00:50:03] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:01:39] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:11:21] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:21:19] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:30:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 01:32:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 01:32:25] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 01:32:25] "GET /livelink_demo.html HTTP/1.1" 404 -
172.17.0.1 - - [09/Jul/2025 01:33:02] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:33:09] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:34:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:53:19] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 01:55:45] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:02:38] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:09:22] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:19:32] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:25:11] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:25:55] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:30:47] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:35:35] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:47:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [09/Jul/2025 02:48:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2025 02:52:10] code 404, message File not found
127.0.0.1 - - [09/Jul/2025 02:52:10] "GET /livelink_demo.html HTTP/1.1" 404 -
